# Full-ISA Z80N golden vectors from the Spectrum Next FPGA Z80N core (HDL simulation of the core source).
# fmt: opcodehex AF BC DE HL IX IY memHL memDE | (post) AF BC DE HL IX IY memHL memDE  name
86 AAC3 A000 A001 A000 A000 A000 07 F7 | B1B0 A000 A001 A000 A000 A000 07 F7 ADD_A_(HL)
86 1093 A000 A001 A000 A000 A000 42 01 | 5200 A000 A001 A000 A000 A000 42 01 ADD_A_(HL)
87 0000 0001 0408 1234 5678 C0DE 00 00 | 0040 0001 0408 1234 5678 C0DE 00 00 ADD_A_A
87 00FF 0102 8001 4123 00FF 0001 00 00 | 0040 0102 8001 4123 00FF 0001 00 00 ADD_A_A
87 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEB9 FF7F 1020 8001 BEEF 1357 00 00 ADD_A_A
87 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 7838 8040 AA55 FFFF 0F0F 8080 00 00 ADD_A_A
87 8055 0F10 7F80 0001 1234 4321 00 00 | 0045 0F10 7F80 0001 1234 4321 00 00 ADD_A_A
87 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | 1E18 C0F0 3CC3 00FF F00F 0FF0 00 00 ADD_A_A
87 1093 55AA 2710 7FFF 8000 00C0 00 00 | 2020 55AA 2710 7FFF 8000 00C0 00 00 ADD_A_A
88 0000 0001 0408 1234 5678 C0DE 00 00 | 0040 0001 0408 1234 5678 C0DE 00 00 ADC_A_B
88 00FF 0102 8001 4123 00FF 0001 00 00 | 0200 0102 8001 4123 00FF 0001 00 00 ADC_A_B
88 FF28 FF7F 1020 8001 BEEF 1357 00 00 | FEB9 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_B
88 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | BDA8 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_B
88 8055 0F10 7F80 0001 1234 4321 00 00 | 9090 0F10 7F80 0001 1234 4321 00 00 ADC_A_B
88 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | CF88 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_B
88 1093 55AA 2710 7FFF 8000 00C0 00 00 | 6620 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_B
89 0000 0001 0408 1234 5678 C0DE 00 00 | 0100 0001 0408 1234 5678 C0DE 00 00 ADC_A_C
89 00FF 0102 8001 4123 00FF 0001 00 00 | 0300 0102 8001 4123 00FF 0001 00 00 ADC_A_C
89 FF28 FF7F 1020 8001 BEEF 1357 00 00 | 7E39 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_C
89 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | 7D28 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_C
89 8055 0F10 7F80 0001 1234 4321 00 00 | 9180 0F10 7F80 0001 1234 4321 00 00 ADC_A_C
89 0F10 C0F0 3CC3 00FF F00F 0FF0 00 00 | FFA8 C0F0 3CC3 00FF F00F 0FF0 00 00 ADC_A_C
89 1093 55AA 2710 7FFF 8000 00C0 00 00 | BBA8 55AA 2710 7FFF 8000 00C0 00 00 ADC_A_C
8A 0000 0001 0408 1234 5678 C0DE 00 00 | 0400 0001 0408 1234 5678 C0DE 00 00 ADC_A_D
8A 00FF 0102 8001 4123 00FF 0001 00 00 | 8180 0102 8001 4123 00FF 0001 00 00 ADC_A_D
8A FF28 FF7F 1020 8001 BEEF 1357 00 00 | 0F09 FF7F 1020 8001 BEEF 1357 00 00 ADC_A_D
8A 3C01 8040 AA55 FFFF 0F0F 8080 00 00 | E7B0 8040 AA55 FFFF 0F0F 8080 00 00 ADC_A_D
8A 8055 0F10 7F80 0001 1234 4321 00 00 | 0051 0F10 7F80 0001 1234 4321 00 00 ADC_A_D
